type,crop,year,state,Area,Prod,Yield
APY,"Finger Millet (Ragi)",1967,All India,1984.2,1630.6,821.79
APY,"Finger Millet (Ragi)",1968,All India,2291.2,1884.2,822.36
APY,"Finger Millet (Ragi)",1969,All India,2238.2,1648,736.31
APY,"Finger Millet (Ragi)",1970,All India,2783.4,2117.2,760.65
APY,"Finger Millet (Ragi)",1971,All India,2472.4,2155,871.62
APY,"Finger Millet (Ragi)",1972,All India,2425,2208.5,910.72
APY,"Finger Millet (Ragi)",1973,All India,2329.3,1922.9,825.53
APY,"Finger Millet (Ragi)",1974,All India,2359.9,2071.9,877.96
APY,"Finger Millet (Ragi)",1975,All India,2463.6,2135.6,866.86
APY,"Finger Millet (Ragi)",1976,All India,2629.5,2796.7,1063.59
APY,"Finger Millet (Ragi)",1977,All India,2496.3,2044.7,819.09
APY,"Finger Millet (Ragi)",1978,All India,2599.8,2866,1102.39
APY,"Finger Millet (Ragi)",1979,All India,2705.1,3200.4,1183.1
APY,"Finger Millet (Ragi)",1980,All India,2614.8,2721.6,1040.84
APY,"Finger Millet (Ragi)",1981,All India,2525,2419.9,958.38
APY,"Finger Millet (Ragi)",1982,All India,2610.4,2960.5,1134.12
APY,"Finger Millet (Ragi)",1983,All India,2411.7,2223.1,921.8
APY,"Finger Millet (Ragi)",1984,All India,2558.2,2831,1106.64
APY,"Finger Millet (Ragi)",1985,All India,2386.9,2530.1,1059.99
APY,"Finger Millet (Ragi)",1986,All India,2400.6,2518.1,1048.95
APY,"Finger Millet (Ragi)",1987,All India,2404.7,2708.3,1126.25
APY,"Finger Millet (Ragi)",1988,All India,2262,2319,1025.2
APY,"Finger Millet (Ragi)",1989,All India,2317.3,2409.7,1039.87
APY,"Finger Millet (Ragi)",1990,All India,2343,2766.5,1180.75
APY,"Finger Millet (Ragi)",1991,All India,2171.3,2340,1077.7
APY,"Finger Millet (Ragi)",1992,All India,2129.9,2581.8,1212.17
APY,"Finger Millet (Ragi)",1993,All India,1905.3,2531.1,1328.45
APY,"Finger Millet (Ragi)",1994,All India,1884.3,2597.2,1378.34
APY,"Finger Millet (Ragi)",1995,All India,1763.6,2342,1327.97
APY,"Finger Millet (Ragi)",1996,All India,1773.7,2501.4,1410.27
APY,"Finger Millet (Ragi)",1997,All India,1784.2,2340.1,1311.57
APY,"Finger Millet (Ragi)",1998,All India,1656.6,2086.8,1259.69
APY,"Finger Millet (Ragi)",1999,All India,1758.2,2608.1,1483.39
APY,"Finger Millet (Ragi)",2000,All India,1634.4,2289.5,1400.82
APY,"Finger Millet (Ragi)",2001,All India,1759.1,2731.7,1552.9
APY,"Finger Millet (Ragi)",2002,All India,1646.7,2374.6,1442.04
APY,"Finger Millet (Ragi)",2003,All India,1415,1315.7,929.82
APY,"Finger Millet (Ragi)",2004,All India,1666.4,1965.7,1179.61
APY,"Finger Millet (Ragi)",2005,All India,1552.7,2432.4,1566.56
APY,"Finger Millet (Ragi)",2006,All India,1533.9,2353.6,1534.39
APY,"Finger Millet (Ragi)",2007,All India,1177.4,1443.6,1226.09
APY,"Finger Millet (Ragi)",2008,All India,1387.1,2152.2,1551.58
APY,"Finger Millet (Ragi)",2009,All India,1381.4,2039.9,1476.69
APY,"Finger Millet (Ragi)",2010,All India,1268,1888.46,1489.31
APY,"Finger Millet (Ragi)",2011,All India,1286.19,2193.45,1705.38
APY,"Finger Millet (Ragi)",2012,All India,1175.78,1929.24,1640.81
APY,"Finger Millet (Ragi)",2013,All India,1131,1574.4,1392.04
APY,"Finger Millet (Ragi)",2014,All India,1193.6,1982.9,1661.28
APY,"Finger Millet (Ragi)",2015,All India,1208.1,2060.9,1705.9
APY,"Finger Millet (Ragi)",2016,All India,1138.2,1821.9,1600.69
APY,"Finger Millet (Ragi)",2017,All India,1016.1,1385.1,1363.15
APY,"Finger Millet (Ragi)",2018,All India,1194.29,1985.24,1662.27
APY,"Finger Millet (Ragi)",2019,All India,890.94,1238.7,1390.34
APY,"Finger Millet (Ragi)",2020,All India,1004.46,1755.06,1747.27