type,crop,year,ExportsTot
EXP,"Pearl Millet (Bajra)",2004,6192.429
EXP,"Pearl Millet (Bajra)",2005,15114.62
EXP,"Pearl Millet (Bajra)",2006,8981.745
EXP,"Pearl Millet (Bajra)",2007,6806.027
EXP,"Pearl Millet (Bajra)",2008,54029.117
EXP,"Pearl Millet (Bajra)",2009,75700.439
EXP,"Pearl Millet (Bajra)",2010,40685.189
EXP,"Pearl Millet (Bajra)",2011,54662.777
EXP,"Pearl Millet (Bajra)",2012,84238.486
EXP,"Pearl Millet (Bajra)",2013,66449.332
EXP,"Pearl Millet (Bajra)",2014,29135.07
EXP,"Pearl Millet (Bajra)",2015,55857.14
EXP,"Pearl Millet (Bajra)",2016,60519.67
EXP,"Pearl Millet (Bajra)",2017,48832.80
EXP,"Pearl Millet (Bajra)",2018,45497.16
EXP,"Pearl Millet (Bajra)",2019,38663.60
EXP,"Pearl Millet (Bajra)",2020,40652.50
EXP,"Sorghum (Jowar)",2004,664.47
EXP,"Sorghum (Jowar)",2005,31816.85
EXP,"Sorghum (Jowar)",2006,24149.6
EXP,"Sorghum (Jowar)",2007,3695.67
EXP,"Sorghum (Jowar)",2008,38358.93
EXP,"Sorghum (Jowar)",2009,78107.69
EXP,"Sorghum (Jowar)",2010,43391.95
EXP,"Sorghum (Jowar)",2011,30884.53
EXP,"Sorghum (Jowar)",2012,243788.53
EXP,"Sorghum (Jowar)",2013,53994.73
EXP,"Sorghum (Jowar)",2014,121021.92
EXP,"Sorghum (Jowar)",2015,52382.06
EXP,"Sorghum (Jowar)",2016,53372.86
EXP,"Sorghum (Jowar)",2017,33053.81
EXP,"Sorghum (Jowar)",2018,86741.44
EXP,"Sorghum (Jowar)",2019,13548.49
EXP,"Sorghum (Jowar)",2020,0
EXP,"Finger Millet (Ragi)",2004,1166.256
EXP,"Finger Millet (Ragi)",2005,1257.645
EXP,"Finger Millet (Ragi)",2006,1295.404
EXP,"Finger Millet (Ragi)",2007,717.432
EXP,"Finger Millet (Ragi)",2008,2745.681
EXP,"Finger Millet (Ragi)",2009,3884.328
EXP,"Finger Millet (Ragi)",2010,5647.538
EXP,"Finger Millet (Ragi)",2011,4265.219
EXP,"Finger Millet (Ragi)",2012,8030.237
EXP,"Finger Millet (Ragi)",2013,10592.52
EXP,"Finger Millet (Ragi)",2014,9399.61
EXP,"Finger Millet (Ragi)",2015,5590.04
EXP,"Finger Millet (Ragi)",2016,6439.87
EXP,"Finger Millet (Ragi)",2017,8272.92
EXP,"Finger Millet (Ragi)",2018,10534.40
EXP,"Finger Millet (Ragi)",2019,9645.08